Source,Target,Weight
246,1037,1
246,597,4
248,1680,1
251,2115,1
254,1348,1
260,1610,4
261,797,2
263,263,4
263,2348,1
263,34,2
263,402,1
263,1831,1
263,1774,1
263,1895,2
263,1895,1
263,1586,2
263,1522,3
263,2337,2
263,124,3
263,1456,2
263,1522,25
263,2096,6
263,751,1
263,2337,1
266,358,2
268,1715,59
270,1183,1
271,1452,1
271,267,1
279,1724,1
283,283,1
289,2127,2
293,14,1
294,824,2
297,2300,1
300,300,1
302,1955,1
303,303,1
308,2115,1
309,328,1
313,980,1
315,36,3
315,747,1
315,666,1
315,1435,1
315,431,1
315,1522,1
315,253,1
315,1114,1
315,1784,1
315,1534,3
315,664,3
315,1633,3
315,459,1
315,972,1
315,1850,2
316,331,1
317,1221,1
318,318,2
320,298,1
322,1865,2
322,1815,2
322,567,7
327,2186,2
329,2184,3
323,323,3
337,1193,1
339,298,1
344,2147,2
350,1222,3
350,1456,3
362,362,1
367,358,1
369,369,1
371,657,4
371,941,7
371,1639,1
371,298,1
371,1095,4
371,1715,2
371,825,1
371,1723,2
373,784,6
375,375,3
375,1791,6
377,377,2
380,1728,1
384,384,4
385,370,1
389,1096,1
389,1724,1
390,1706,1
390,1497,1
390,535,3
390,600,1
390,1796,1
390,1220,1
390,535,1
390,2115,2
390,653,2
390,2157,1
390,1278,6
390,1348,3
390,1162,1
390,1003,1
390,2074,1
390,965,1
392,392,48
393,358,1
395,600,1
396,535,1
397,781,7
405,405,235
407,18,3
408,1237,1
410,410,2
413,1213,1
413,459,1
413,1715,1
414,1118,1
415,2253,2
417,951,1
417,2234,2
417,1806,1
417,25,3
418,562,1
419,419,1
422,840,8
423,498,6
425,666,3
425,2176,1
426,484,1
426,51,1
426,431,1
429,429,1
432,2151,5
434,2115,1
434,358,1
436,535,1
438,745,2
438,2172,1
441,358,2
441,2151,1
443,2140,1
443,600,1
443,851,1
444,444,15
445,1300,1
448,2063,164
453,1981,4
453,1353,1
453,664,2
453,325,3
454,195,1
456,1633,4
456,670,2
456,1610,11
456,358,15
456,1460,3
456,2126,5
456,941,1
456,1867,2
457,1606,3
461,461,3
465,135,1
465,431,2
465,1522,1
465,325,3
465,840,2
467,216,1
469,469,3
476,1522,1
481,1519,2
481,600,1
481,1689,2
481,1044,4
481,1860,6
481,734,6
481,1515,1
481,1715,68
481,479,2
482,1220,2
488,1221,3
488,2257,1
489,1065,2
490,512,1
490,1141,3
496,851,1
501,635,1
504,565,1
505,459,3
508,2099,2
509,972,1
511,1833,4
514,535,4
523,540,2
523,523,1
526,1732,1
528,2099,1
530,530,2
530,326,5
530,370,3
530,536,4
531,531,18
532,1766,1
532,1131,2
532,484,1
532,561,2
532,532,2
532,796,3
532,2174,1
532,1131,1
532,1906,4
532,459,2
532,852,1
532,1405,1
532,2143,1
533,217,2
537,500,1
538,358,7
539,1695,1
541,1526,1
542,972,4
543,1537,7
544,544,2
548,0,15
548,358,4
548,589,5
548,596,26
548,1186,1
548,0,7
548,1895,5
548,446,4
550,2006,1
551,551,1
557,664,10
557,2139,1
659,1444,1
659,1385,1
553,1527,6
558,444,3
558,558,2
558,444,5
563,1915,1
564,2228,1
566,18,3
569,535,4
574,190,2
575,1443,2
576,576,1
578,26,2
580,580,6
580,1207,3
580,580,3
580,580,2
580,580,3
580,580,2
580,580,2
584,2267,1
587,440,1
588,164,2
588,440,1
588,440,1
591,1710,6
591,1380,4
591,1357,3
591,1715,2
591,2121,2
591,1782,1
591,1223,1
591,2121,2
591,1645,1
595,1076,1
598,1035,1
598,1801,1
604,502,11
610,1035,1
614,1237,3
615,2115,1
615,459,2
615,1522,1
620,636,2
620,535,1
622,417,2
624,290,2
627,1076,1
627,1542,1
628,628,1
629,1183,1
631,935,1
632,1985,1
633,2245,2
639,1628,3
642,1162,2
642,1636,1
642,2159,1
642,36,3
642,1833,2
642,2147,2
643,1346,1
645,2335,1
648,648,1
651,1248,1
652,666,1
658,2099,3
658,2099,2
663,1998,1
668,1998,1
673,535,2
673,535,2
675,964,1
676,676,4
677,417,2
678,440,5
678,958,3
678,1630,2
678,1114,1
680,331,2
682,941,1
683,358,1
686,1864,1
688,374,52
688,284,3
689,941,1
689,689,1
689,383,2
689,1248,1
689,2115,1
689,2115,1
690,2041,3
691,1251,1
693,535,1
693,619,1
695,666,2
702,370,1
706,1226,2
712,275,1
714,535,1
715,1535,2
717,1183,1
719,657,3
720,1555,5
720,720,2
720,720,2
720,720,2
720,720,2
720,720,2
721,732,3
721,607,2
721,732,1
727,2267,4
728,1487,3
729,941,1
731,1071,1
733,2235,1
736,1523,8
736,431,1
736,736,1
739,298,153
739,979,3
741,1348,1
741,1455,1
741,358,1
746,746,1
748,1987,5
748,982,2
748,358,1
748,2141,1
748,1207,2
748,1193,2
748,338,1
748,370,1
748,338,1
748,358,1
749,229,1
753,2115,2
754,1929,3
761,1438,2
765,106,7
767,1051,4
772,2115,1
777,2115,5
777,1311,1
777,2115,3
777,510,4
777,484,1
777,826,1
777,1911,1
777,1220,1
777,1522,1
778,1625,1
779,211,1
785,378,2
788,1920,2
790,134,1
791,791,2
793,2028,8
793,145,1
793,207,1
793,1220,3
793,358,1
793,1220,2
794,1183,1
798,431,2
802,1705,1
802,593,1
804,535,11
806,2339,2
808,1715,1
809,851,1
812,255,3
812,370,1
814,814,1
815,1522,2
816,1235,1
819,2206,3
836,2346,1
837,358,1
837,1516,1
845,845,2
846,562,1
847,852,2
848,43,1
849,206,1
859,540,1
861,861,1
862,606,153
862,862,2
866,866,20
867,1715,6
868,1715,1
869,1028,11
870,1139,2
870,982,12
872,219,1
875,1163,2
876,253,3
877,1076,1
878,2099,1
879,879,6
879,879,4
880,1578,1
880,1414,881
880,636,1
889,2306,3
890,2244,2
898,417,2
901,901,6795
902,1715,5
906,1992,3
906,2049,2
906,1119,2
906,1119,2
906,1119,2
906,1119,2
906,1119,2
906,1119,1
906,2049,1
910,459,3
911,666,2
911,2223,1
914,1257,1
915,941,1
916,1402,1
924,162,8
925,477,1
925,440,2
925,885,1
925,77,1
928,1715,6
929,2151,1
930,930,2
933,253,2
934,1522,1
936,1715,1
940,1402,1
940,1522,1
942,664,6
942,306,4
942,2310,1
942,1526,1
943,430,4
944,664,21
944,1639,2
945,2115,1
945,1220,1
945,600,1
952,2265,1
953,1460,1
954,954,4
956,2357,2
957,1237,3
960,1522,29
960,850,35
960,1532,5
960,960,5
960,811,3
960,586,21
960,965,8
960,164,3
960,1221,6
960,1526,7
960,2115,5
960,871,5
960,1348,1
960,1348,2
960,1640,1
960,1464,1
960,2121,1
960,1746,1
960,2337,1
960,1522,2
960,2104,1
960,7,2
960,827,1
960,2348,1
960,2121,1
960,96,1
960,965,4
960,1410,1
960,666,1
960,807,1
960,1866,1
960,871,5
960,961,2
960,909,4
960,1522,6
960,1278,3
960,1278,3
960,2298,4
960,1246,7
960,1385,4
960,2348,3
960,742,2
960,1586,3
960,440,26
960,2337,3
960,212,6
960,1385,1
960,212,7
960,965,2
960,431,7
960,1444,1
960,2206,1
960,1741,2
966,966,1
969,417,2
970,358,2
973,1138,1
975,1193,1
977,977,2
981,1643,2
986,2115,1
987,440,2
987,760,4
1012,1699,1
989,1410,1
989,972,6
990,1514,1
992,1522,3
993,1508,1
997,2096,70
997,1522,42
997,2096,1
997,1552,2
997,1929,1
997,1221,1
997,2228,2
998,601,2
1000,2069,1
1002,1114,1
1009,983,3
1010,1358,1
1016,1016,1
1021,1647,2
1023,596,1
1029,1839,9
1031,2337,1
1033,1348,1
1039,440,9
1040,1183,1
1041,1473,1
1042,13,1781
1046,2326,1
1048,1220,5
1049,2029,103
1053,1715,2
1055,494,1
1059,1522,1
1061,140,2
1061,358,1
1064,1064,1
1066,1066,1
1066,1066,2
1068,2234,2
1069,529,10
1070,707,1
1073,1522,2
1076,1076,18
1081,374,1
1081,286,2
1081,23,1
1082,2234,2
1084,1756,2
1084,440,3
1085,1085,1
1088,1088,1
1089,965,1
1090,2233,146
1090,1096,1
1090,27,3
1090,276,1
1090,276,1
1090,927,2
1090,1522,1
1090,2142,2
1090,1248,1
1090,216,1
1090,1385,1
1090,2115,1
1090,1526,1
1090,1535,1
1090,535,1
1090,1385,1
1090,358,2
1091,1091,2
1095,1095,170
1098,1799,1
1100,2067,1
1100,513,1
1101,2099,1
1102,1539,1
1104,1715,1
1108,358,4
1109,2099,2
1110,1110,2
1120,459,1
1121,131,2
1121,1715,1
1124,1220,27
1128,734,1
1128,2115,1
1128,2115,1
1128,535,1
1128,1444,1
1128,852,1
1131,358,40
1131,1014,2
1142,383,1
1144,1207,3
1146,1444,1
1148,1579,2
1151,1357,1
1154,2248,5
1157,1157,6
1158,358,82
1160,1654,3
1160,852,1
1161,766,1
1161,1220,1
1161,1317,1
1164,536,1
1173,433,1
1174,535,1
1174,1452,1
1177,417,2
1179,1221,3
1179,664,4
1188,1370,1
1189,1189,1
1191,274,5
1192,941,2
1195,1508,2
1196,1579,2
1200,1970,2
1201,1920,3
1202,851,9
1205,562,1
1208,525,1
1211,1211,396
1212,575,2
1216,417,2
1219,1647,1
1225,1225,22
1225,1225,2
1229,1112,1
1229,2213,3
1229,1695,4
1232,1232,1
1233,417,2
1236,1236,1
1237,1547,2
1237,1314,2
1237,614,4
1237,278,1
1238,1522,2
1238,370,1
1238,1060,2
1240,1387,1
1241,1241,3
1242,2115,1
1243,26,2
1244,667,2
1247,298,2
1247,600,1
1247,1220,1
1247,2093,1
1253,1586,5
1253,1949,3
1253,1410,1
1253,252,1
1253,1410,1
1253,3,2
1253,650,1
1253,2249,1
1253,2302,1
1253,2188,1
1253,2212,2
1255,562,1
1258,1537,1
1266,1266,1
1268,331,1
1269,1052,1
1270,817,1
1270,2099,1
1270,535,1
1270,2036,1
1270,2036,1
1270,1138,1
1270,1138,1
1270,1138,1
1270,2099,1
1270,2099,1
1270,464,1
1270,440,1
1270,2282,1
1270,276,1
1274,2311,1
1276,358,1
1280,596,1
1282,1282,2
1283,1259,1
1285,1116,2
1286,1286,1
1287,1287,1
1288,358,3
1289,1289,1
1293,897,1
1294,821,1
1296,1221,2
1296,1452,1
1297,1297,1
1301,1153,2
1302,358,1
1302,2099,1
1305,1305,1
1307,206,5
1308,1920,3
1310,760,1
1312,1804,2
1314,1237,1
1315,565,3
1319,535,1
1319,535,1
1319,459,1
1319,2310,1
1319,1319,1
1327,1378,1
1328,1715,3
1329,1329,5
1330,212,4
1332,535,1
1338,2098,1
1341,358,1
1343,1343,1
1349,2167,1
1354,1699,1
1363,2151,3
1365,0,2
1365,0,4
1365,0,3
1365,0,2
1365,0,2
1365,0,2
1365,0,3
1365,0,9
1369,1357,1
1374,2069,2
1375,2121,1
1383,833,82
1386,1633,1
1386,858,9
1388,2269,1
1389,277,1
1391,26,2
1393,905,1
1397,664,1
1398,376,11
1398,995,4
1400,1114,95
1400,2050,3
1401,1401,6
1403,1403,4
1413,1413,2
1415,1415,5
1416,1721,2
1420,331,1
1423,2115,5
1423,53,5
1424,1424,7
1430,2115,1
1431,500,1
1437,1220,1
1450,1385,1
1450,1522,1
1453,1278,1
1467,1237,1
1469,1469,7
1470,1380,3
1470,1523,1
1470,756,1
1470,1523,1
1470,356,1
1470,941,1
1471,1385,1
1471,111,2
1476,1508,1
1477,965,1
1477,1987,1
1477,1129,1
1477,1522,1
1477,431,1
1477,2115,1
1477,1186,1
1477,1596,2
1477,236,1
1477,1313,1
1477,1162,1
1477,358,1
1477,517,1
1477,1444,1
1477,1496,1
1477,2096,1
1477,358,1
1477,2298,1
1477,1220,1
1477,2302,1
1477,1279,1
1477,1496,1
1477,1444,2
1477,1522,1
1477,1184,2
1477,2115,1
1477,164,1
1477,1460,1
1477,851,1
1477,1987,1
1477,1348,1
1477,1726,1
1477,1410,1
1477,1970,1
1477,1278,1
1477,2302,1
1477,253,1
1477,1633,1
1477,1895,1
1477,535,1
1477,1096,1
1477,70,1
1477,1096,1
1477,440,1
1477,85,1
1477,1186,1
1477,276,1
1477,1096,1
1477,404,1
1477,2115,1
1477,431,1
1477,1628,1
1477,1984,1
1477,1170,1
1477,2337,1
1477,573,1
1477,1080,1
1477,2140,2
1477,2050,1
1477,1399,1
1477,1522,1
1477,1080,1
1477,2115,1
1477,2151,1
1477,666,1
1477,358,2
1477,1149,1
1477,851,1
1477,670,2
1477,737,1
1477,650,2
1477,666,1
1477,2096,1
1477,431,1
1477,874,1
1477,1169,1
1477,2151,1
1477,593,1
1478,447,2
1479,1103,1
1488,1715,1
1489,2099,1
1498,851,2
1498,742,1
1498,851,1
1500,253,1
1503,2302,1
1512,2107,1
1513,1895,1
1518,1047,45
1520,26,4
1521,459,3
1525,1867,1
1527,1527,27
1529,2074,1
1531,1531,122
1543,2202,1
1546,358,7
1549,2099,1
1549,2099,1
1549,1509,1
1551,1755,4
1552,1552,2182
1552,1552,909
1554,1076,1
1556,2116,2
1558,1444,2
1558,100,5
1560,524,2
1562,1385,1
1566,1536,3
1570,656,1
1570,1220,1
1571,1571,2
1571,1571,2
1571,1571,2
1575,2099,1
1576,1920,2
1581,1193,1
1582,77,3
1585,478,3
1588,1799,1
1589,1402,1
1589,1114,1
1594,1169,18
1599,2175,1
1603,358,2
1605,1952,1
1611,664,2
1611,197,1
1614,2077,1
1615,1292,1
1618,1618,3
1620,1620,3
1621,1812,5
1621,1902,3
1621,593,2
1623,660,1
1623,734,1
1632,141,1
1634,535,1
1637,360,3
1638,2295,5
1641,1485,1
1642,1715,2
1649,212,1
1650,967,2
1651,1162,1
1657,1186,2
1657,1801,1
1658,1462,28
1659,2143,5
1660,1592,2
1661,1681,3
1662,1662,12
1668,1668,2
1673,2267,1
1674,1674,1
1675,189,1
1676,1150,2
1679,452,51
1683,918,2
1684,1684,5
1686,442,1
1688,499,3
1688,1076,3
1690,394,7
1692,2099,3
1696,1715,1
1700,2097,1
1700,370,23
1702,250,1
1704,1221,4
1704,1390,2
1704,431,6
1704,1608,2
1704,593,7
1704,593,1
1704,2007,1
1704,593,2
1707,1138,18
1708,1708,1
1712,358,36
1713,2267,4
1714,1367,6
1714,0,3
1714,1495,1
1714,1494,3
1714,0,4
1714,776,3
1714,2140,7
1714,1460,9
1714,370,53
1714,1367,11
1718,581,3
1719,1072,5
1719,1809,1
1719,1689,3
1722,912,1
1735,1572,1
1735,725,1
1736,1458,1
1737,1715,1
1742,2151,1
1744,535,1
1748,1748,1
1751,1751,1
1750,417,2
1752,1537,1
1753,2099,2
1755,1523,2
1757,23,3
1757,1462,3
1757,2115,1
1757,1385,1
1757,965,2
1757,188,1
1757,1220,1
1757,1358,2
1757,661,1
1757,2115,1
1757,2151,2
1757,431,1
1757,703,1
1757,2302,1
1757,1410,3
1757,1313,1
1757,2115,1
1757,358,1
1757,2337,1
1757,751,1
1757,2235,1
1757,353,1
1757,1385,1
1757,1162,1
1757,1910,1
1757,1633,1
1757,269,2
1757,1221,1
1757,230,1
1757,1348,1
1757,1385,1
1757,1522,1
1757,440,1
1757,2099,1
1757,1348,1
1761,1058,2
1762,1445,1
1762,768,1
1762,1666,2
1762,2139,1
1763,500,2
1765,535,2
1769,2121,1
1770,1963,1
1771,813,1
1771,287,1
1774,1348,1
1774,1627,2
1774,383,6
1774,649,6
1774,1348,1
1774,164,3
1777,1779,1
1780,1780,2
1781,18,3
1787,2309,3
1789,2337,1
1793,346,2
1794,1794,1
1795,2267,1
1797,1797,3
1803,1715,1
1808,1510,1
1811,1183,1
1816,1816,4
1817,1817,4
1819,2212,1
1821,1220,1
1822,1320,14
1823,1183,1
1824,1824,3
1825,1147,1
1826,941,1
1828,655,2
1829,1829,1
1834,1460,12
1834,1526,10
1834,2186,19
1834,1779,7
1834,2115,1
1834,2210,3
1834,2294,1
1834,2229,1
1834,440,19
1834,1183,1
1834,1220,1
1834,1358,3
1834,1522,1
1834,1522,1
1834,1460,1
1834,1220,1
1834,1539,1
1834,1220,12
1834,600,42
1834,667,3
1834,565,1
1834,851,3
1834,249,13
1834,851,1
1834,600,3
1834,1248,1
1834,1382,1
1834,1460,1
1834,2096,7
1834,1380,3
1834,233,2
1834,1402,8
1834,1220,1
1834,1020,2
1834,2099,1
1834,927,2
1834,737,1
1834,1385,1
1834,1768,1
1834,1715,1
1834,1639,1
1834,111,1
1834,782,1
1834,1385,1
1834,1248,1
1834,1923,14
1834,409,1
1835,2139,1
1835,1114,1
1835,1451,1
1835,2115,2
1835,892,1
1835,440,1
1835,2151,1
1835,1347,2
1835,547,1
1835,2115,2
1835,405,1
1835,253,1
1835,1162,1
1838,2022,2
1839,664,20
1839,1457,6
1839,1063,4
1839,2306,7
1839,2096,1
1839,2306,1
1839,2306,8
1839,1029,8
1839,325,12
1839,1029,4
1839,196,8
1839,707,2
1839,1029,9
1839,325,3
1839,325,13
1840,2099,1
1844,1522,1
1847,1494,1
1851,398,1
1853,1853,1
1854,596,9
1855,2115,2
1855,1715,1
1855,1248,1
1858,562,1
1861,2008,4
1861,1044,3
1861,1183,1
1861,1114,1
1863,1506,4
1863,1159,1
1863,342,1
1863,1779,1
1873,1278,4
1874,1018,3
1877,358,10
1878,1916,3
1879,1879,1
1880,1522,3
1885,495,1
1890,688,3
1891,1384,1
1894,955,2
1894,517,1
1894,737,1
1894,1727,1
1893,535,1
1896,904,2
1897,1316,2
1898,850,29
1898,1522,9
1898,1633,5
1898,188,2
1898,1246,3
1898,1724,1
1898,440,2
1898,2306,3
1904,20,1
1905,1905,2
1909,1362,4
1911,1060,5
1912,535,1
1913,417,2
1919,2267,1
1920,417,2
1921,332,1
1928,593,3
1931,657,4
1931,1768,3
1933,1866,1
1934,1509,1
1936,358,1
1936,593,1
1937,1491,4
1942,1942,1
1946,535,2
1947,130,1
1948,1580,2
1948,1580,2
1956,884,3
1956,1956,7
1957,1779,1
1957,1779,1
1960,2192,1
1961,325,4
1961,2099,1
1961,1522,1
1961,1385,1
1962,226,2
1964,261,2
1965,1965,1
1966,2099,1
1966,1062,1
1968,363,3
1969,1969,2
1971,941,1
1973,2234,2
1979,1003,1
1980,1801,1
1982,1982,2
1983,1183,1
1986,440,1
1988,1444,1
1989,1183,2
1991,1396,1
1994,865,1
1995,1433,2
1997,1348,6
1999,1199,1
2000,1609,1
2000,2139,1
2000,440,1
2001,358,4
2004,195,7
2009,370,3
2018,370,54
2020,1429,1
2029,2029,4
2031,2031,1
2031,593,2
2035,2035,2
2037,2142,1
2038,2121,1
2038,430,1
2040,1317,1
2040,1496,1
2040,1522,1
2043,1798,3
2045,26,2
2047,1715,1
2048,10,1
2051,1695,3
2053,634,1
2056,1279,3
2062,135,3
2064,1221,1
2064,1452,1
2066,1444,1
2067,782,3
2067,891,1
2067,891,1
2067,1027,2
2067,833,2
2070,2221,2
2071,27,13
2071,851,2
2071,345,5
2071,358,1
2071,1764,2
2071,1348,1
2071,760,3
2073,2188,1
2079,540,1
2084,1493,4
2087,937,1
2088,358,10
2088,1895,2
2088,1504,1
2089,1402,1
2090,2090,1
2092,417,2
2105,535,1
2106,99,4
2108,2108,4
2110,0,3
2111,1526,4
2114,2114,3
2117,2228,1
2118,1540,1
2118,1654,1
2119,1729,1
2124,1523,6
2129,1237,1
2130,440,1
2133,1392,2
2138,2138,1
2144,2144,1
2146,1390,1
2149,1725,16
2150,592,3
2154,1522,1
2158,799,3
2165,1186,2
2166,2166,1
2168,1358,2
2168,547,1
2169,2362,1
2170,40,2
2171,2171,1
2173,358,4
2179,358,1
2180,982,1
2182,1220,1
2182,1220,1
2187,1889,1
2189,596,2
2189,1807,6
2190,2257,1
2190,1440,2
2191,500,1
2193,1186,1
2194,1318,2
2195,459,2
2196,2115,1
2197,54,3
2198,994,1
2200,635,1
2204,602,1
2205,1251,1
2207,1482,2
2209,2115,1
2208,1183,1
2211,1220,1
2214,417,2
2216,2216,1
2218,623,1
2219,2099,2
2220,2017,91
2220,358,7
2220,1252,1
2220,1715,4
2220,0,3
2222,2115,1
2225,230,3
2226,1906,1
2226,1977,1
2226,370,1
2232,1779,1
2237,2139,1
2238,2148,1
2238,2098,1
2240,1460,2
2241,1183,13
2246,1107,2
2247,535,1
2250,1522,1
2250,1427,1
2250,1630,2
2250,1355,1
2250,600,1
2250,1522,2
2250,386,1
2251,1380,1
2254,2254,2
2254,431,4
2254,1764,1
2255,18,6
2259,1715,1
2259,1715,1
2260,1527,13
2264,535,1
2266,1158,1
2268,999,5
2268,1222,6
2268,519,3
2268,1221,1
2268,89,4
2268,2147,3
2268,664,18
2270,2270,4
2271,1460,6
2274,1220,1
2279,1460,2
2279,135,3
2279,341,3
2279,387,1
2279,2210,1
2279,1077,3
2279,710,1
2279,1076,2
2279,1348,9
2279,15,2
2279,1626,4
2279,1617,1
2280,1522,1
2280,142,1
2281,2025,2
2283,1648,1
2287,1671,2
2292,600,1
2292,2297,1
2292,484,2
2292,1727,1
2292,941,1
2296,1076,1
2299,1749,1
2302,664,2
2303,2091,1
2303,18,8
2312,1522,1
2312,1633,1
2312,1639,1
2315,2115,1
2316,1357,1
2317,1730,1
2320,2016,7
2321,281,1
2323,2323,1
2324,2324,2
2325,696,2
2332,417,2
2333,1738,1
2334,1832,1
2336,1321,2076
2338,1313,1
2340,2340,2
2342,440,2
2344,2188,1
2345,1494,13
2352,416,4
2353,1932,1
2357,1385,1
2358,1715,1
2361,2075,1
